2025-04-16_19-35-48,000%,draft.go:2025-04-16_19-35-48
2025-04-16_19-40-01,000%,draft.go:2025-04-16_19-35-48
2025-04-16_19-42-39,000%,draft.go:2025-04-16_19-35-48
2025-04-16_19-43-02,000%,draft.go:2025-04-16_19-35-48
2025-04-16_19-44-20,000%,draft.go:2025-04-16_19-35-48
2025-04-16_19-51-19,000%,draft.go:2025-04-16_19-51-19
2025-04-16_19-51-30,100%,draft.go:2025-04-16_19-51-30
2025-04-16_19-51-44,100%,draft.go:2025-04-16_19-51-30
2025-04-16_19-51-45,Execução Livre,draft.go:2025-04-16_19-51-30
2025-04-16_19-52-55,100%,draft.go:2025-04-16_19-51-30
